year,station,month,rainfall,stationindex,rain,sdrain,rainsd,period,rain3sd,latitude,longitude,_merge
2006,Ambagan_ctg,3,0,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2006,Ambagan_ctg,11,16,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2006,Ambagan_ctg,5,859,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2007,Ambagan_ctg,12,0,1,4340,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2007,Ambagan_ctg,11,182,1,4340,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2007,Ambagan_ctg,3,4,1,4340,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2007,Ambagan_ctg,9,512,1,4340,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2007,Ambagan_ctg,10,635,1,4340,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2007,Ambagan_ctg,6,953,1,4340,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2007,Ambagan_ctg,7,930,1,4340,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2007,Ambagan_ctg,5,263,1,4340,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2007,Ambagan_ctg,4,223,1,4340,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2007,Ambagan_ctg,1,0,1,4340,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2007,Ambagan_ctg,2,49,1,4340,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2007,Ambagan_ctg,8,589,1,4340,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2008,Ambagan_ctg,6,618,1,3270,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2008,Ambagan_ctg,8,809,1,3270,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2008,Ambagan_ctg,7,962,1,3270,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2008,Ambagan_ctg,3,14,1,3270,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2008,Ambagan_ctg,12,0,1,3270,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2008,Ambagan_ctg,5,272,1,3270,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2008,Ambagan_ctg,10,216,1,3270,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2008,Ambagan_ctg,11,43,1,3270,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2008,Ambagan_ctg,9,266,1,3270,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2008,Ambagan_ctg,1,56,1,3270,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2008,Ambagan_ctg,4,1,1,3270,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2008,Ambagan_ctg,2,13,1,3270,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2009,Ambagan_ctg,1,0,1,3130,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2009,Ambagan_ctg,10,321,1,3130,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2009,Ambagan_ctg,5,360,1,3130,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2009,Ambagan_ctg,3,2,1,3130,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2009,Ambagan_ctg,9,261,1,3130,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2009,Ambagan_ctg,12,0,1,3130,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2009,Ambagan_ctg,2,0,1,3130,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2009,Ambagan_ctg,11,39,1,3130,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2009,Ambagan_ctg,4,125,1,3130,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2009,Ambagan_ctg,7,1025,1,3130,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2009,Ambagan_ctg,6,408,1,3130,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2009,Ambagan_ctg,8,589,1,3130,294.90668,575.89478,2007,328.47073,22.35,91.816597,matched (3)
2010,Ambagan_ctg,9,86,1,2405,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2010,Ambagan_ctg,5,282,1,2405,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2010,Ambagan_ctg,10,301,1,2405,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2010,Ambagan_ctg,2,9,1,2405,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2010,Ambagan_ctg,11,52,1,2405,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2010,Ambagan_ctg,12,22,1,2405,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2010,Ambagan_ctg,7,245,1,2405,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2010,Ambagan_ctg,3,50,1,2405,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2010,Ambagan_ctg,8,392,1,2405,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2010,Ambagan_ctg,4,50,1,2405,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2010,Ambagan_ctg,1,0,1,2405,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2010,Ambagan_ctg,6,916,1,2405,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2011,Ambagan_ctg,1,0,1,3128,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2011,Ambagan_ctg,10,66,1,3128,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2011,Ambagan_ctg,5,355,1,3128,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2011,Ambagan_ctg,4,117,1,3128,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2011,Ambagan_ctg,12,0,1,3128,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2011,Ambagan_ctg,3,35,1,3128,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2011,Ambagan_ctg,8,748,1,3128,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2011,Ambagan_ctg,6,454,1,3128,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2011,Ambagan_ctg,2,0,1,3128,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2011,Ambagan_ctg,9,740,1,3128,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2011,Ambagan_ctg,11,0,1,3128,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2011,Ambagan_ctg,7,613,1,3128,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2012,Ambagan_ctg,9,221,1,3275,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2012,Ambagan_ctg,3,31,1,3275,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2012,Ambagan_ctg,12,0,1,3275,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2012,Ambagan_ctg,5,114,1,3275,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2012,Ambagan_ctg,11,3,1,3275,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2012,Ambagan_ctg,2,0,1,3275,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2012,Ambagan_ctg,10,445,1,3275,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2012,Ambagan_ctg,7,662,1,3275,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2012,Ambagan_ctg,4,231,1,3275,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2012,Ambagan_ctg,8,300,1,3275,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2012,Ambagan_ctg,1,0,1,3275,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2012,Ambagan_ctg,6,1268,1,3275,294.90668,575.89478,2010,310.20987,22.35,91.816597,matched (3)
2013,Ambagan_ctg,9,305,1,2379,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2013,Ambagan_ctg,11,0,1,2379,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2013,Ambagan_ctg,6,504,1,2379,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2013,Ambagan_ctg,2,1,1,2379,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2013,Ambagan_ctg,8,243,1,2379,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2013,Ambagan_ctg,12,0,1,2379,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2013,Ambagan_ctg,10,403,1,2379,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2013,Ambagan_ctg,7,391,1,2379,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2013,Ambagan_ctg,1,0,1,2379,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2013,Ambagan_ctg,3,5,1,2379,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2013,Ambagan_ctg,5,469,1,2379,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2013,Ambagan_ctg,4,58,1,2379,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2014,Ambagan_ctg,6,1235,1,3156,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2014,Ambagan_ctg,5,368,1,3156,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2014,Ambagan_ctg,11,1,1,3156,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2014,Ambagan_ctg,8,599,1,3156,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2014,Ambagan_ctg,7,389,1,3156,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2014,Ambagan_ctg,9,355,1,3156,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2014,Ambagan_ctg,4,30,1,3156,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
